Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
SHW,Sherwin-Williams,Materials,303.86,1.11,25.34,11.99,17.37,239.48,312.48,27.98,1.95,2.38,17.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SHW
SIG,Signet Jewelers,Consumer Discretionary,76.12,1.34,11.40,6.68,32.06,72.65,125.45,5.30,0.9051,0.79,2.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SIG
SPG,Simon Property Group Inc,Real Estate,182.96,3.59,31.16,5.87,14.59,173.11,229.10,57.49,4.03,10.58,12.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG
SWKS,Skyworks Solutions,Information Technology,91.11,1.22,19.28,4.73,19.81,54.50,94.49,16.84,1.37,5.17,4.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS
SLG,SL Green Realty,Real Estate,108.49,2.84,46.42,2.34,70.63,80.12,120.63,10.91,1.06,5.73,1.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLG
SNA,Snap-On Inc.,Consumer Discretionary,166.98,1.56,18.64,8.96,46.03,133.09,181.73,9.69,0.9054,2.86,3.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA
SO,Southern Co.,Utilities,48.98,4.53,18.39,2.66,25.05,46.20,54.64,48.00,7.41,2.60,1.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO
LUV,Southwest Airlines,Industrials,52.86,0.76,14.89,3.55,13.68,33.96,54.18,32.61,4.98,1.59,3.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV
SWN,Southwestern Energy,Energy,9.32,0.00,,-11.38,2.30,5.30,15.59,4.56,0.65,1.78,3.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWN
SE,Spectra Energy Corp.,Energy,42.10,4.23,92.53,0.46,10.65,26.88,44.00,29.53,2.41,5.87,3.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SE
SWK,Stanley Black & Decker,Consumer Discretionary,122.36,1.87,18.80,6.51,43.17,88.72,128.77,18.00,1.85,1.58,2.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
SPLS,Staples Inc.,Consumer Discretionary,9.02,5.22,,-0.71,7.14,7.24,11.37,5.87,1.36,0.29,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
SBUX,Starbucks Corp.,Consumer Discretionary,53.87,1.63,27.63,1.95,4.03,50.84,61.64,78.40,4.95,3.62,13.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
STT,State Street Corp.,Financials,75.97,1.99,15.55,4.89,49.16,50.60,83.49,29.30,0.00,2.89,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT
SRCL,Stericycle Inc,Industrials,76.80,,27.92,2.75,33.47,71.52,128.94,6.53,0.74264,1.84,2.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCL
SYK,Stryker Corp.,Health Care,123.39,1.38,28.37,4.35,25.50,94.31,127.23,46.21,3.11,4.07,4.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
STI,SunTrust Banks,Financials,56.83,1.83,15.74,3.61,46.63,31.07,58.72,28.18,0.00,3.54,1.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STI
SYMC,Symantec Corp.,Information Technology,27.76,1.09,8.02,3.46,6.20,16.14,27.84,17.31,0.94,4.66,4.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYMC
SYF,Synchrony Financial,Financials,35.34,1.45,13.04,2.71,17.37,23.25,38.06,28.89,0.00,4.20,2.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF
SYY,Sysco Corp.,Consumer Staples,52.38,2.52,28.97,1.81,5.50,42.05,57.07,28.65,2.81,0.55,9.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY
TROW,T. Rowe Price Group,Financials,66.45,3.20,13.99,4.75,20.46,62.97,79.00,16.27,1.93,3.87,3.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW
TGT,Target Corp.,Consumer Discretionary,63.68,3.72,11.33,5.62,19.64,62.94,84.14,35.77,7.47,0.51,3.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
TEL,TE Connectivity Ltd.,Information Technology,74.51,1.99,13.04,5.72,24.86,51.70,76.46,26.47,2.63,2.13,3.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL
TGNA,"Tegna, Inc.",Consumer Discretionary,23.28,2.44,11.54,2.02,10.27,17.91,25.38,4.99,1.16,1.54,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGNA
TDC,Teradata Corp.,Information Technology,29.77,,215.72,0.14,7.18,22.10,33.09,3.87,0.374,1.59,4.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDC
TSO,Tesoro Petroleum Co.,Energy,82.51,2.72,14.00,5.89,46.53,67.80,93.50,9.75,2.13,0.41,1.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSO
TXN,Texas Instruments,Information Technology,75.89,2.65,21.82,3.48,10.52,49.10,79.47,75.59,5.71,5.68,7.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
TXT,Textron Inc.,Industrials,47.54,0.17,13.48,3.53,20.41,30.68,50.93,12.98,1.59,0.93,2.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT
BK,The Bank of New York Mellon Corp.,Financials,44.80,1.70,14.22,3.15,33.67,32.20,49.54,46.93,0.00,3.09,1.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
CLX,The Clorox Company,Consumer Staples,120.24,2.67,24.20,4.97,2.24,111.24,140.47,15.48,1.20,2.67,53.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX
COO,The Cooper Companies,Health Care,187.01,0.03,33.45,5.59,55.34,123.80,190.99,9.12,0.61015,4.61,3.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COO
